name,category,group,value,uncertainty
keepin,yield,1,0.0005214000000000001,5.9703014999244394e-05
keepin,yield,2,0.0034602000000000005,0.0002535227997636505
keepin,yield,3,0.0030968000000000002,0.00040903437508356193
keepin,yield,4,0.006241000000000001,0.00046797082173998845
keepin,yield,5,0.0018170000000000003,0.00019032364540434802
keepin,yield,6,0.0006636000000000001,0.0001345786015680056
keepin,half_life,1,55.89896617418914,1.3523943429239307
keepin,half_life,2,22.72613706753919,0.6706073233044351
keepin,half_life,3,6.244569194233741,0.2250295205129276
keepin,half_life,4,2.3028145533553,0.0918065602666565
keepin,half_life,5,0.6080238425964433,0.08000313718374254
keepin,half_life,6,0.23028145533553002,0.022186585397775318
charlton,yield,1,0.0005372,3.16e-05
charlton,yield,2,0.0034444000000000002,4.740000000000001e-05
charlton,yield,3,0.0031916000000000006,0.00023700000000000001
charlton,yield,4,0.006067200000000001,0.0001264
charlton,yield,5,0.0018644,0.00014220000000000001
charlton,yield,6,0.0006636000000000001,0.00014220000000000001
charlton,half_life,1,55.45177444479562,0.44361419555836495
charlton,half_life,2,22.43194759093674,0.5081670975293112
charlton,half_life,3,6.027366787477785,0.10482377021700495
charlton,half_life,4,2.186584165804244,0.06207967663166622
charlton,half_life,5,0.49159374507797543,0.031378324153913326
charlton,half_life,6,0.23028145533553002,0.022186585397775318
endfb6,yield,1,0.0005845000000000001,0.0
endfb6,yield,2,0.00301769,0.0
endfb6,yield,3,0.0028807499999999996,0.0
endfb6,yield,4,0.00645956,0.0
endfb6,yield,5,0.00264862,0.0
endfb6,yield,6,0.00110888,0.0
endfb6,half_life,1,51.72740153432427,0.0
endfb6,half_life,2,21.197161485013616,0.0
endfb6,half_life,3,5.737973349006169,0.0
endfb6,half_life,4,2.289125431175513,0.0
endfb6,half_life,5,0.8159472402118249,0.0
endfb6,half_life,6,0.24295379620047153,0.0
mills,yield,1,0.0005641801199999999,3.9393668191918104e-05
mills,yield,2,0.0032469141599999994,0.00022754333579943592
mills,yield,3,0.00196229412,0.00020212986906849057
mills,yield,4,0.006582649679999999,0.0005115695108885049
mills,yield,5,0.0028702457999999994,0.00034962803609715423
mills,yield,6,0.0012204712799999998,0.0001196298252343465
mills,half_life,1,55.27489478149484,0.09917744278976345
mills,half_life,2,22.800894097366623,0.11722959695455272
mills,half_life,3,7.678599540932151,0.3786135654889664
mills,half_life,4,2.7714801301877063,0.11258791732389885
mills,half_life,5,1.0738143773198223,0.08520646383628397
mills,half_life,6,0.28176714656908347,0.010197450837010366
saleh,yield,1,0.00054516,4.832127481762045e-05
saleh,yield,2,0.0036344,0.0003221418321174697
saleh,yield,3,0.0029722000000000004,0.0002729451959643181
saleh,yield,4,0.005929,0.0010432292365535009
saleh,yield,5,0.0016786000000000001,0.0001452959737914303
saleh,yield,6,0.00063448,0.00012429734671343552
saleh,half_life,1,55.45177444479562,3.992527760025284
saleh,half_life,2,22.651868645749847,0.14805142905718857
saleh,half_life,3,6.244569194233741,0.3938016608976233
saleh,half_life,4,2.3104906018664844,0.03850817669777474
saleh,half_life,5,0.6301338005090411,0.01718546728661021
saleh,half_life,6,0.23028145533553002,0.022186585397775318
synetos,yield,1,0.0005134,3.8451007789133435e-05
synetos,yield,2,0.0032767,0.00020381957707737498
synetos,yield,3,0.0021441999999999998,0.0003612445847344981
synetos,yield,4,0.005828600000000001,0.0003726968339012286
synetos,yield,5,0.0027029,0.0002856483502490431
synetos,yield,6,0.0006342,0.00012432618388738553
synetos,half_life,1,56.35342931381669,0.4581579619009487
synetos,half_life,2,22.359586469675655,0.2885107931571052
synetos,half_life,3,7.001486672322679,0.7779429635914087
synetos,half_life,4,2.72892590771632,0.21487605572569446
synetos,half_life,5,0.7701635339554948,0.09413109859456047
synetos,half_life,6,0.23028145533553002,0.022186585397775318
tuttle,yield,1,0.000646,6.84233878144016e-05
tuttle,yield,2,0.003621,0.00012639525307542212
tuttle,yield,3,0.003196,0.00040972888597217555
tuttle,yield,4,0.006919,0.00018848331491142658
tuttle,yield,5,0.0021760000000000004,0.00020560000000000004
tuttle,yield,6,0.000442,6.819853370857764e-05
tuttle,half_life,1,54.5785181543264,1.289256334354167
tuttle,half_life,2,21.865841658042438,0.8277290217555495
tuttle,half_life,3,6.027366787477785,0.2096475404340099
tuttle,half_life,4,2.2287690693245827,0.08599752035979098
tuttle,half_life,5,0.49510512897138953,0.04243758248326196
tuttle,half_life,6,0.1791077985943011,0.025454596699448478
waldo,yield,1,0.0005511,5.516901304174292e-05
waldo,yield,2,0.0036573,0.00041356220813802604
waldo,yield,3,0.0032732,0.00040786842241095347
waldo,yield,4,0.0065965,0.0003845101949233596
waldo,yield,5,0.0019205000000000001,0.00017050026392941448
waldo,yield,6,0.0007014,8.85246293412178e-05
waldo,half_life,1,54.5785181543264,1.289256334354167
waldo,half_life,2,21.865841658042438,0.8277290217555495
waldo,half_life,3,6.027366787477785,0.2096475404340099
waldo,half_life,4,2.2287690693245827,0.08599752035979098
waldo,half_life,5,0.49510512897138953,0.04243758248326196
waldo,half_life,6,0.1791077985943011,0.025454596699448478
brady,yield,1,0.0006764,3.8e-05
brady,yield,2,0.00341404,0.0001918
brady,yield,3,0.00291564,0.0001638
brady,yield,4,0.00610718,0.00034310000000000005
brady,yield,5,0.00310432,0.0001744
brady,yield,6,0.0015842,8.9e-05
brady,half_life,1,52.11632936540942,0.0
brady,half_life,2,21.327605555690624,0.0
brady,half_life,3,5.686195082526212,0.0
brady,half_life,4,2.1872741576520833,0.0
brady,half_life,5,0.7011401785959389,0.0
brady,half_life,6,0.2346152113999273,0.0
Modified 0D Scaled,yield,1,0.00052,2e-05
Modified 0D Scaled,yield,2,0.00297,9e-05
Modified 0D Scaled,yield,3,0.0030968000000000002,0.00040903437508356193
Modified 0D Scaled,yield,4,0.006241000000000001,0.00046797082173998845
Modified 0D Scaled,yield,5,0.0018170000000000003,0.00019032364540434802
Modified 0D Scaled,yield,6,0.0006636000000000001,0.0001345786015680056
Modified 0D Scaled,half_life,1,55.52977,0.15676
Modified 0D Scaled,half_life,2,23.54278,0.1256
Modified 0D Scaled,half_life,3,6.244569194233741,0.2250295205129276
Modified 0D Scaled,half_life,4,2.3028145533553,0.0918065602666565
Modified 0D Scaled,half_life,5,0.6080238425964433,0.08000313718374254
Modified 0D Scaled,half_life,6,0.23028145533553002,0.022186585397775318
