633.0  0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
700.0  0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
800.0  0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
900.0  0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1000.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1100.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1200.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1300.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1400.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1500.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1600.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1700.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1800.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
1900.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
2000.0 0.01245770778	0.02817569629	0.04220356977	0.1061424839	0.1381516779	0.2227765765	0.3351623486	0.5692276254	1.108164082	1.841247497	3.745989227	8.549929919
