633.0  0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
700.0  0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
800.0  0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
900.0  0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1000.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1100.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1200.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1300.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1400.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1500.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1600.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1700.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1800.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
1900.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
2000.0 0.01245773099	0.0281906731	0.04214968382	0.1001481469	0.1299596849	0.2068787552	0.3235277585	0.5360679504	1.068601583	1.816408483	3.725978029	8.350099997
